school_id,school_name,school_city,school_state,team_id,team_full_name,team_school_count,team_group_id,team_group_name,team_group_description,funder,connection_status,address,city,state,county,zipcode,latitude,longitude,database_school_name,database_state_name,lea_name,school_status,data_year,school_year,match_type,has_address_data
080336006730,Dsst: Conservatory Green High School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,5590 N CENTRAL PARK BLVD #4,DENVER,CO,Denver County,80239.0,39.7979051,-104.8834392,DSST: Conservatory Green High School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336006618,Dsst: Conservatory Green Middle School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,8499 EAST STOLL PLACE,DENVER,CO,Denver County,80238.0,39.7878749,-104.8463495,DSST: Conservatory Green Middle School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336006822,Dsst: Elevate Northeast High School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,10825 EAST 47TH AVE,DENVER,CO,Denver County,80239.0,39.7832947,-104.8620655,DSST: Elevate Northeast High School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336006450,Dsst: Green Valley Ranch High School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,4800 TELLURIDE STREET #2,DENVER,CO,Denver County,80249.0,39.7849481,-104.7806838,DSST: Green Valley Ranch High School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336006546,Dsst: Green Valley Ranch Middle School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,4800 TELLURIDE STREET BUILDING 3,DENVER,CO,Denver County,80249.0,39.7843156,-104.7807112,DSST: Green Valley Ranch Middle School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336001833,Dsst: Montview High School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,2000 VALENTIA STREET,DENVER,CO,Denver County,80238.0,39.74785019999999,-104.8899965,DSST: Montview High School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080336006566,Dsst: Montview Middle School,DENVER,CO,mMTmTyC0XPYDT26pfs4M,DSST Public Schools,29,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,2000 VALENTIA STREET,DENVER,CO,Denver County,80238.0,39.74785019999999,-104.8899965,DSST: Montview Middle School,COLORADO,School District No. 1 in the county of Denver and State of C,active,2023,2023-2024,direct,True
080453001902,James Irwin Charter Elementary School,COLORADO SPRINGS,CO,oM55ibZfAiy908dz4frg,James Irwin Charter Schools,5,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,5525 ASTROZON BLVD.,COLORADO SPRINGS,CO,El Paso County,80916.0,38.79802480000001,-104.7264361,James Irwin Elementary School - Astrozon,COLORADO,Harrison School District No. 2 in the county of El Paso an,active,2023,2023-2024,direct,True
080453001781,James Irwin Charter High School,COLORADO SPRINGS,CO,oM55ibZfAiy908dz4frg,James Irwin Charter Schools,5,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,5525 ASTROZON BLVD.,COLORADO SPRINGS,CO,El Paso County,80916.0,38.79802480000001,-104.7264361,James Irwin Charter High School,COLORADO,Harrison School District No. 2 in the county of El Paso an,active,2023,2023-2024,direct,True
080453001964,James Irwin Charter Middle School,COLORADO SPRINGS,CO,oM55ibZfAiy908dz4frg,James Irwin Charter Schools,5,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,5525 ASTROZON BLVD,COLORADO SPRINGS,CO,El Paso County,80916.0,38.79802480000001,-104.7264361,James Irwin Charter Middle School,COLORADO,Harrison School District No. 2 in the county of El Paso an,active,2023,2023-2024,direct,True
080306006595,James Irwin Elementary School - Howard,COLORADO SPRINGS,CO,oM55ibZfAiy908dz4frg,James Irwin Charter Schools,5,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,1801 HOWARD AVENUE,COLORADO SPRINGS,CO,El Paso County,80903.0,38.8576368,-104.7815162,James Irwin Elementary School - Howard,COLORADO,Colorado Springs School District No. 11 in the county of E,active,2023,2023-2024,direct,True
080387006693-hs,Power Technical Early College (PTEC),COLORADO SPRINGS,CO,oM55ibZfAiy908dz4frg,James Irwin Charter Schools,5,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,CLCS Test,fully_connected,2460 WAYNOKA PLACE,COLORADO SPRINGS,CO,El Paso County,80915.0,38.8680312,-104.7189702,Power Technical,COLORADO,El Paso County Colorado School District 49,active,2023,2023-2024,suffix_mapped,True
090002400981-hs,Achievement First Amistad High School,New Haven,CT,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,580 Dixwell Avenue,New Haven,CT,South Central Connecticut Planning Region,6511,41.3284999,-72.9372326,Achievement First Amistad High School,CONNECTICUT,Amistad Academy District,active,2023,2023-2024,direct,True
360102806237-es,Achievement First Apollo Elementary School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,350 Linwood Street,Brooklyn,NY,Kings,11208,40.6771191,-73.8838969,Achievement First Apollo Elementary School,NEW YORK,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,active,2023,2023-2024,direct,True
360102806237-ms,Achievement First Apollo Middle School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,301 Vermont Street,Brooklyn,NY,Kings,11207,40.6716062,-73.8933308,Achievement First Apollo Middle School,NEW YORK,ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,active,2023,2023-2024,direct,True
360110906421-es,Achievement First Aspire Elementary School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,982 Hegeman Avenue,Brooklyn,NY,Kings,11208,40.6661578,-73.8761335,Achievement First Aspire Elementary School,NEW YORK,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,active,2023,2023-2024,direct,True
360110906421-ms,Achievement First Aspire Middle School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,970 Vermont Street,Brooklyn,NY,Kings,11207,40.6551575,-73.886218,Achievement First Aspire Middle School,NEW YORK,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,active,2023,2023-2024,direct,True
090020801493-es,Achievement First Bridgeport Academy Elementary School,Bridgeport,CT,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,655 Stillman Street,Bridgeport,CT,Greater Bridgeport Planning Region,6608,41.1926125,-73.17603249999999,Achievement First Bridgeport Academy Elementary School,CONNECTICUT,Achievement First Bridgeport Academy District,active,2023,2023-2024,direct,True
090020801493-ms,Achievement First Bridgeport Academy Middle School,Bridgeport,CT,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,529 Noble Avenue,Bridgeport,CT,Greater Bridgeport Planning Region,6608,41.1889084,-73.18485629999999,Achievement First Bridgeport Academy Middle School,CONNECTICUT,Achievement First Bridgeport Academy District,active,2023,2023-2024,direct,True
360014705821-hs,Achievement First Brooklyn High School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,1485 Pacific Street,Brooklyn,NY,Kings,11216,40.6777423,-73.9421816,Achievement First Brooklyn High School,NEW YORK,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,active,2023,2023-2024,direct,True
360096906014-es,Achievement First Brownsville Elementary School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,2021 Bergen Street,Brooklyn,NY,Kings,11233,40.6742693,-73.9134011,Achievement First Brownsville Elementary School,NEW YORK,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,active,2023,2023-2024,direct,True
360096906014-ms,Achievement First Brownsville Middle School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,2021 Bergen Street,Brooklyn,NY,Kings,11233,40.6742693,-73.9134011,Achievement First Brownsville Middle School,NEW YORK,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,active,2023,2023-2024,direct,True
360016605902-es,Achievement First Bushwick Elementary School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,125 Covert Street,Brooklyn,NY,Kings,11207,40.6889301,-73.91035459999999,Achievement First Bushwick Elementary School,NEW YORK,ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,active,2023,2023-2024,direct,True
360016605902-ms,Achievement First Bushwick Middle School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,1300 Greene Avenue,Brooklyn,NY,Kings,11237,40.697892,-73.919072,Achievement First Bushwick Middle School,NEW YORK,ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,active,2023,2023-2024,direct,True
360014705821-es,Achievement First Crown Heights Elementary School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,790 East New York Avenue,Brooklyn,NY,Kings,11203,40.6620182,-73.9362577,Achievement First Crown Heights Elementary School,NEW YORK,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,active,2023,2023-2024,direct,True
360014705821-ms,Achievement First Crown Heights Middle School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,790 East New York Avenue,Brooklyn,NY,Kings,11203,40.6620182,-73.9362577,Achievement First Crown Heights Middle School,NEW YORK,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,active,2023,2023-2024,direct,True
360014905824-hs,Achievement First East Brooklyn High School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,301 Vermont Street,Brooklyn,NY,Kings,11207,40.6716062,-73.8933308,Achievement First East Brooklyn High School,NEW YORK,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,active,2023,2023-2024,direct,True
360014905824-es,Achievement First East New York Elementary School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,557 Pennsylvania Avenue,Brooklyn,NY,Kings,11207,40.6639876,-73.8934056,Achievement First East New York Elementary School,NEW YORK,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,active,2023,2023-2024,direct,True
360014905824-ms,Achievement First East New York Middle School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,158 Richmond Street,Brooklyn,NY,Kings,11208,40.6833999,-73.87723729999999,Achievement First East New York Middle School,NEW YORK,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,active,2023,2023-2024,direct,True
360017005867-es,Achievement First Endeavor Elementary School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,510 Waverly Avenue,Brooklyn,NY,Kings,11238,40.6824219,-73.9658766,Achievement First Endeavor Elementary School,NEW YORK,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,active,2023,2023-2024,direct,True
360017005867-ms,Achievement First Endeavor Middle School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,510 Waverly Avenue,Brooklyn,NY,Kings,11238,40.6824219,-73.9658766,Achievement First Endeavor Middle School,NEW YORK,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,active,2023,2023-2024,direct,True
440002100539,Achievement First Envision Ele,Providence,RI,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,370 Hartford Ave,Providence,RI,Providence County,2909.0,41.8175514,-71.45617109999999,Achievement First Envision Ele,RHODE ISLAND,Achievement First Rhode Island,active,2023,2023-2024,direct,True
090021201528-es,Achievement First Hartford Academy Elementary School,Hartford,CT,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,305 Greenfield Street,Hartford,CT,Capitol Planning Region,6112,41.7839161,-72.69728119999999,Achievement First Hartford Academy Elementary School,CONNECTICUT,Achievement First Hartford Academy District,active,2023,2023-2024,direct,True
090021201528-hs,Achievement First Hartford High School,Hartford,CT,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,305 Greenfield Street,Hartford,CT,Capitol Planning Region,6112,41.7839161,-72.69728119999999,Achievement First Hartford High School,CONNECTICUT,Achievement First Hartford Academy District,active,2023,2023-2024,direct,True
090021201528-ms,Achievement First Hartford Summit Middle School,Hartford,CT,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,305 Greenfield Street,Hartford,CT,Capitol Planning Region,6112,41.7839161,-72.69728119999999,Achievement First Hartford Summit Middle School,CONNECTICUT,Achievement First Hartford Academy District,active,2023,2023-2024,direct,True
440002100495-es,Achievement First Iluminar Mayoral Academy Elementary School,Cranston,RI,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,85 Garfield Avenue,Cranston,RI,Providence,2920,41.8000918,-71.4432925,Achievement First Iluminar Mayoral Academy Elementary School,RHODE ISLAND,Achievement First Rhode Island,active,2023,2023-2024,direct,True
360123006738,Achievement First Legacy Charter School,SAINT ALBANS,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,118-49 MONTAUK ST,SAINT ALBANS,NY,Queens County,11412.0,40.6882843,-73.7634583,ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL,NEW YORK,ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL,active,2023,2023-2024,direct,True
360111206517-es,Achievement First Linden Elementary School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,800 Van Siclen Avenue,Brooklyn,NY,Kings,11207,40.6598585,-73.8855966,Achievement First Linden Elementary School,NEW YORK,ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,active,2023,2023-2024,direct,True
360111206517-ms,Achievement First Linden Middle School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,2390 Pitkin Avenue,Brooklyn,NY,Kings,11208,40.6735206,-73.8840184,Achievement First Linden Middle School,NEW YORK,ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,active,2023,2023-2024,direct,True
360112406457-es,Achievement First North Brooklyn Preparatory Elementary School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,200 Woodbine Street,Brooklyn,NY,Kings,11221,40.6937526,-73.9149302,Achievement First North Brooklyn Preparatory Elementary School,NEW YORK,ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,active,2023,2023-2024,direct,True
360112406457-ms,Achievement First North Brooklyn Preparatory Middle School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,200 Woodbine Street,Brooklyn,NY,Kings,11221,40.6937526,-73.9149302,Achievement First North Brooklyn Preparatory Middle School,NEW YORK,ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,active,2023,2023-2024,direct,True
440002100533,Achievement First Promesa,Providence,RI,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,234 Daboll St,Providence,RI,Providence County,2907.0,41.803794,-71.428984,Achievement First Promesa,RHODE ISLAND,Achievement First Rhode Island,active,2023,2023-2024,direct,True
440002100538-hs,Achievement First Providence High School,Providence,RI,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,206 Elmwood Avenue,Providence,RI,Providence,2907,41.8076933,-71.42372449999999,Achievement First Providence High School,RHODE ISLAND,Achievement First Rhode Island,active,2023,2023-2024,direct,True
440002100486-es,Achievement First Providence Mayoral Academy Elementary School,Providence,RI,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,370 Hartford Avenue,Providence,RI,Providence,2909,41.8175514,-71.45617109999999,Achievement First Providence Mayoral Academy Elementary School,RHODE ISLAND,Achievement First Rhode Island,active,2023,2023-2024,direct,True
440002100515-ms,Achievement First Providence Mayoral Academy Middle School,Providence,RI,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,370 Hartford Avenue,Providence,RI,Providence,2909,41.8175514,-71.45617109999999,Achievement First Providence Mayoral Academy Middle School,RHODE ISLAND,Achievement First Rhode Island,active,2023,2023-2024,direct,True
360096906014-hs,Achievement First University Prep High School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,35 Starr Street,Brooklyn,NY,Kings,11221,40.7012793,-73.9276237,Achievement First University Prep High School,NEW YORK,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,active,2023,2023-2024,direct,True
360114306591-ms,Achievement First Voyager Middle School,Brooklyn,NY,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,601 Parkside Avenue,Brooklyn,NY,Kings,11226,40.6562667,-73.9540944,Achievement First Voyager Middle School,NEW YORK,ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,active,2023,2023-2024,direct,True
090002400981-es,Amistad Academy Elementary School,New Haven,CT,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,130 Edgewood Avenue,New Haven,CT,South Central Connecticut Planning Region,6511,41.3110062,-72.9383471,Amistad Academy Elementary School,CONNECTICUT,Amistad Academy District,active,2023,2023-2024,direct,True
090002400981-ms,Amistad Academy Middle School,New Haven,CT,kmvDCvr6E2y7xHP2HuoW,Achievement First,45,AiiT0SJ3Pga39qPJP79x,Charter School Growth Fund (All),Has access to all schools funded by CSGF,Charter School Growth Fund,fully_connected,130 Edgewood Avenue,New Haven,CT,South Central Connecticut Planning Region,6511,41.3110062,-72.9383471,Amistad Academy Middle School,CONNECTICUT,Amistad Academy District,active,2023,2023-2024,direct,True
